	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
155	Metaphase Negative	Metaphase Negative	60	train	False	DP
156	Binuclear	Binuclear	156	train	False	DP
157	Binuclear	Binuclear Negative	0	train	False	DP
158	Binuclear Negative	Binuclear	0	train	False	DP
159	Binuclear Negative	Binuclear Negative	156	train	False	DP
160	Hole	Hole	97	train	False	DP
161	Hole	Hole Negative	0	train	False	DP
162	Hole Negative	Hole	1	train	False	DP
163	Hole Negative	Hole Negative	96	train	False	DP
164	Anaphase	Anaphase	71	train	False	DP
165	Anaphase	Anaphase Negative	0	train	False	DP
166	Anaphase Negative	Anaphase	0	train	False	DP
167	Anaphase Negative	Anaphase Negative	71	train	False	DP
168	MetaphaseAlignment	MetaphaseAlignment	141	train	False	DP
169	MetaphaseAlignment	MetaphaseAlignment Negative	8	train	False	DP
170	MetaphaseAlignment Negative	MetaphaseAlignment	31	train	False	DP
171	MetaphaseAlignment Negative	MetaphaseAlignment Negative	118	train	False	DP
172	Elongated	Elongated	94	train	False	DP
173	Elongated	Elongated Negative	0	train	False	DP
174	Elongated Negative	Elongated	3	train	False	DP
175	Elongated Negative	Elongated Negative	91	train	False	DP
176	OutOfFocus	OutOfFocus	257	train	False	DP
177	OutOfFocus	OutOfFocus Negative	1	train	False	DP
178	OutOfFocus Negative	OutOfFocus	5	train	False	DP
179	OutOfFocus Negative	OutOfFocus Negative	253	train	False	DP
180	Large	Large	12	test	False	DP
181	Large	Large Negative	0	test	False	DP
182	Large Negative	Large	101	test	False	DP
183	Large Negative	Large Negative	317	test	False	DP
184	Prometaphase	Prometaphase	50	test	False	DP
185	Prometaphase	Prometaphase Negative	2	test	False	DP
186	Prometaphase Negative	Prometaphase	69	test	False	DP
187	Prometaphase Negative	Prometaphase Negative	309	test	False	DP
188	Grape	Grape	10	test	False	DP
189	Grape	Grape Negative	1	test	False	DP
190	Grape Negative	Grape	105	test	False	DP
191	Grape Negative	Grape Negative	314	test	False	DP
192	Interphase	Interphase	51	test	False	DP
193	Interphase	Interphase Negative	12	test	False	DP
194	Interphase Negative	Interphase	38	test	False	DP
195	Interphase Negative	Interphase Negative	329	test	False	DP
196	Apoptosis	Apoptosis	40	test	False	DP
197	Apoptosis	Apoptosis Negative	1	test	False	DP
198	Apoptosis Negative	Apoptosis	52	test	False	DP
199	Apoptosis Negative	Apoptosis Negative	337	test	False	DP
200	ADCCM	ADCCM	14	test	False	DP
201	ADCCM	ADCCM Negative	0	test	False	DP
202	ADCCM Negative	ADCCM	102	test	False	DP
203	ADCCM Negative	ADCCM Negative	314	test	False	DP
204	SmallIrregular	SmallIrregular	24	test	False	DP
205	SmallIrregular	SmallIrregular Negative	1	test	False	DP
206	SmallIrregular Negative	SmallIrregular	81	test	False	DP
207	SmallIrregular Negative	SmallIrregular Negative	324	test	False	DP
208	Polylobed	Polylobed	46	test	False	DP
209	Polylobed	Polylobed Negative	9	test	False	DP
210	Polylobed Negative	Polylobed	60	test	False	DP
211	Polylobed Negative	Polylobed Negative	315	test	False	DP
212	Metaphase	Metaphase	10	test	False	DP
213	Metaphase	Metaphase Negative	1	test	False	DP
214	Metaphase Negative	Metaphase	88	test	False	DP
215	Metaphase Negative	Metaphase Negative	331	test	False	DP
216	Binuclear	Binuclear	25	test	False	DP
217	Binuclear	Binuclear Negative	3	test	False	DP
218	Binuclear Negative	Binuclear	79	test	False	DP
219	Binuclear Negative	Binuclear Negative	323	test	False	DP
220	Hole	Hole	16	test	False	DP
221	Hole	Hole Negative	1	test	False	DP
222	Hole Negative	Hole	78	test	False	DP
223	Hole Negative	Hole Negative	335	test	False	DP
224	Anaphase	Anaphase	13	test	False	DP
225	Anaphase	Anaphase Negative	0	test	False	DP
226	Anaphase Negative	Anaphase	81	test	False	DP
227	Anaphase Negative	Anaphase Negative	336	test	False	DP
228	MetaphaseAlignment	MetaphaseAlignment	26	test	False	DP
229	MetaphaseAlignment	MetaphaseAlignment Negative	0	test	False	DP
230	MetaphaseAlignment Negative	MetaphaseAlignment	127	test	False	DP
231	MetaphaseAlignment Negative	MetaphaseAlignment Negative	277	test	False	DP
232	Elongated	Elongated	15	test	False	DP
233	Elongated	Elongated Negative	1	test	False	DP
234	Elongated Negative	Elongated	62	test	False	DP
235	Elongated Negative	Elongated Negative	352	test	False	DP
236	OutOfFocus	OutOfFocus	46	test	False	DP
237	OutOfFocus	OutOfFocus Negative	0	test	False	DP
238	OutOfFocus Negative	OutOfFocus	5	test	False	DP
239	OutOfFocus Negative	OutOfFocus Negative	379	test	False	DP
240	Large	Large	67	train	False	CP_and_DP
241	Large	Large Negative	0	train	False	CP_and_DP
242	Large Negative	Large	0	train	False	CP_and_DP
243	Large Negative	Large Negative	67	train	False	CP_and_DP
244	Prometaphase	Prometaphase	288	train	False	CP_and_DP
245	Prometaphase	Prometaphase Negative	5	train	False	CP_and_DP
246	Prometaphase Negative	Prometaphase	16	train	False	CP_and_DP
247	Prometaphase Negative	Prometaphase Negative	277	train	False	CP_and_DP
248	Grape	Grape	61	train	False	CP_and_DP
249	Grape	Grape Negative	2	train	False	CP_and_DP
250	Grape Negative	Grape	9	train	False	CP_and_DP
251	Grape Negative	Grape Negative	54	train	False	CP_and_DP
252	Interphase	Interphase	342	train	False	CP_and_DP
253	Interphase	Interphase Negative	15	train	False	CP_and_DP
254	Interphase Negative	Interphase	19	train	False	CP_and_DP
255	Interphase Negative	Interphase Negative	338	train	False	CP_and_DP
