	Feature_Name	Phenotypic_Class	ML_coefficient
144	DP__efficientnet_9	Metaphase	-0.0036149726700700786
145	DP__efficientnet_9	MetaphaseAlignment	-0.0032005784816713364
146	DP__efficientnet_9	OutOfFocus	0.003973642284052897
147	DP__efficientnet_9	Polylobed	0.01665726336318701
148	DP__efficientnet_9	Prometaphase	-0.016661705129339573
149	DP__efficientnet_9	SmallIrregular	0.013822748049850972
150	DP__efficientnet_10	ADCCM	0.014305268403929084
151	DP__efficientnet_10	Anaphase	0.0033501331123582286
152	DP__efficientnet_10	Apoptosis	-0.007414984452354194
153	DP__efficientnet_10	Binuclear	-0.0030695161740611604
154	DP__efficientnet_10	Elongated	-0.005084399023985887
155	DP__efficientnet_10	Grape	-0.004397826296005519
156	DP__efficientnet_10	Hole	-0.0055721989800550835
157	DP__efficientnet_10	Interphase	-0.008922059440341338
158	DP__efficientnet_10	Large	0.009075038215839442
159	DP__efficientnet_10	Metaphase	0.00839182571076738
160	DP__efficientnet_10	MetaphaseAlignment	0.004113151044521169
161	DP__efficientnet_10	OutOfFocus	0.0025151863080772855
162	DP__efficientnet_10	Polylobed	0.008579216578911628
163	DP__efficientnet_10	Prometaphase	-0.011523338959707485
164	DP__efficientnet_10	SmallIrregular	-0.004345496047894203
165	DP__efficientnet_11	ADCCM	0.0005794842104013251
166	DP__efficientnet_11	Anaphase	-0.003529495822514191
167	DP__efficientnet_11	Apoptosis	-0.0045460125562581995
168	DP__efficientnet_11	Binuclear	-0.011882214756232756
169	DP__efficientnet_11	Elongated	0.0089015221752145
170	DP__efficientnet_11	Grape	-0.009459656277653316
171	DP__efficientnet_11	Hole	0.006185265500242075
172	DP__efficientnet_11	Interphase	0.007203303286124898
173	DP__efficientnet_11	Large	0.0034483270649169873
174	DP__efficientnet_11	Metaphase	-0.005131042958793394
175	DP__efficientnet_11	MetaphaseAlignment	-0.003958999351450677
176	DP__efficientnet_11	OutOfFocus	0.0064395413373258825
177	DP__efficientnet_11	Polylobed	-0.003064532462656449
178	DP__efficientnet_11	Prometaphase	0.004602269476757801
179	DP__efficientnet_11	SmallIrregular	0.004212241134575205
180	DP__efficientnet_12	ADCCM	0.0048647957826604546
181	DP__efficientnet_12	Anaphase	0.0016411771192377032
182	DP__efficientnet_12	Apoptosis	-7.18456146211737e-05
183	DP__efficientnet_12	Binuclear	0.011616614526672118
184	DP__efficientnet_12	Elongated	-0.004584758190461267
185	DP__efficientnet_12	Grape	0.006656580397620765
186	DP__efficientnet_12	Hole	0.0055308141854532545
187	DP__efficientnet_12	Interphase	4.829575534529772e-05
188	DP__efficientnet_12	Large	-0.00544378640958037
189	DP__efficientnet_12	Metaphase	0.003292135150996142
190	DP__efficientnet_12	MetaphaseAlignment	0.01068915702405453
191	DP__efficientnet_12	OutOfFocus	-0.01217949637396927
192	DP__efficientnet_12	Polylobed	0.0047447186145054
193	DP__efficientnet_12	Prometaphase	-0.027324290173073962
