UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
2.2972214	7.863122	4.126282	Polylobed
4.676737	6.743111	4.106482	Polylobed
4.346253	7.008393	4.368102	Polylobed
5.308601	9.2617445	3.9436603	Artefact
5.2879744	9.325605	3.9180334	Artefact
5.0753226	9.595457	4.119097	Artefact
5.0625443	9.605702	4.1362677	Artefact
4.192971	7.247459	4.4663506	Polylobed
5.9580283	8.439987	4.1463895	Metaphase
5.932799	8.4496975	4.0937495	Metaphase
5.0803494	9.583495	4.110337	Artefact
4.1991644	7.152193	4.4016333	Polylobed
5.072848	9.589019	4.1276803	Artefact
4.204619	7.1673126	4.411132	Polylobed
5.045191	9.580826	4.1340284	Artefact
5.072071	9.5865555	4.112351	Artefact
5.017196	9.533688	4.0997725	Artefact
5.2350535	8.780644	4.196793	Artefact
6.256183	7.814998	3.3414664	Artefact
5.266072	6.0350375	5.583446	MetaphaseAlignment
1.8832259	6.158508	4.3686757	Polylobed
1.9030871	6.177015	4.3508334	Polylobed
1.9496083	6.0953035	4.382022	Polylobed
5.2958922	9.22237	4.0007796	Metaphase
2.8134418	9.582706	4.429931	Polylobed
2.7472057	9.560582	4.378852	Polylobed
2.8128142	9.584556	4.422546	Polylobed
2.7630572	9.548415	4.353057	Polylobed
2.8481472	9.53706	4.430134	Polylobed
5.1623697	8.695519	4.4103346	Artefact
3.1809268	10.139187	4.3698373	Polylobed
3.1490984	10.140903	4.3737597	Polylobed
3.14209	10.174021	4.374868	Polylobed
3.183364	10.144129	4.4139457	Polylobed
3.0789473	8.126594	4.122126	Large
2.4718482	9.309809	3.8006344	Large
5.34952	9.154042	4.0794077	Large
2.3437164	9.418968	4.2782683	Polylobed
2.4733706	9.322257	4.360275	Polylobed
2.3933387	9.402283	4.225394	Polylobed
2.433179	9.351531	4.156436	Polylobed
2.2025945	7.851436	4.134717	Polylobed
2.2663097	7.853992	4.131775	Polylobed
2.243506	7.8669605	4.1339397	Polylobed
2.259196	7.8636775	4.113968	Polylobed
4.1108685	7.2608933	4.3978195	Polylobed
4.190865	7.2310605	4.4527435	Polylobed
4.2991333	7.224894	4.4184575	Polylobed
4.2318563	7.1341753	4.4247746	Polylobed
1.8728288	6.1198664	4.391126	Polylobed
1.8295333	6.0780444	4.37901	Polylobed
1.8767488	5.994735	4.4343686	Polylobed
3.4943311	9.50552	4.578108	Polylobed
3.491276	9.493003	4.5733194	Polylobed
3.3921185	9.51691	4.5241647	Polylobed
3.4721198	9.472561	4.553363	Polylobed
3.605348	9.443379	4.526629	Polylobed
3.1571364	10.133964	4.382498	Polylobed
3.140218	10.122157	4.3653398	Polylobed
3.1757867	10.14095	4.389756	Polylobed
3.199805	10.114076	4.414493	Polylobed
6.484722	7.1572156	3.6943657	Artefact
5.512621	8.811826	4.3071003	Artefact
5.4919124	8.860758	4.3426733	Artefact
5.0579524	9.497847	4.030256	Artefact
5.6553097	8.714197	4.283818	Artefact
5.076811	9.5325365	4.043946	Artefact
6.495082	8.045501	3.853159	Artefact
5.024636	9.420825	3.8333204	Artefact
4.9926724	9.420247	3.9029207	Artefact
3.3167033	9.5858135	4.2585588	Polylobed
