UMAP1	UMAP2	Mitocheck_Phenotypic_Class
2.798733	6.089693	Polylobed
2.6798537	6.0105524	Polylobed
0.9555192	4.6873636	Polylobed
0.9390461	4.632229	Polylobed
0.9727887	4.5621123	Polylobed
1.5604167	9.370455	Polylobed
1.5369242	9.355776	Polylobed
1.51154	9.290015	Polylobed
1.5621717	9.337407	Polylobed
1.5986819	9.342317	Polylobed
1.422574	10.037177	Polylobed
1.4312096	10.013153	Polylobed
1.4246892	10.036852	Polylobed
1.4282702	10.030738	Polylobed
6.5906253	6.3582635	Artefact
4.9771748	8.319833	Artefact
4.922444	8.369664	Artefact
4.5769706	9.086575	Artefact
5.0977874	8.219653	Artefact
4.54255	9.142358	Artefact
6.4785504	7.4057527	Artefact
4.7365565	8.963528	Artefact
4.659488	8.957507	Artefact
1.7030329	9.490515	Polylobed
1.7726771	9.345483	Polylobed
2.1687214	9.092201	Interphase
5.649716	8.053584	MetaphaseAlignment
2.2722435	7.755998	Polylobed
1.8674108	8.118351	Polylobed
2.0726025	7.9511423	Polylobed
2.0393913	8.224585	Polylobed
6.0771303	7.380607	MetaphaseAlignment
3.4675305	4.5717497	Binuclear
3.4804828	4.6572227	Binuclear
4.471617	7.0194483	Polylobed
5.5779157	6.7149577	Polylobed
4.520646	6.943687	Polylobed
3.9479115	5.0647306	Polylobed
3.614944	5.3346047	Polylobed
4.869815	5.206733	Polylobed
2.964505	5.128849	Polylobed
3.3048744	4.558418	Polylobed
3.3175015	4.5421414	Polylobed
1.9687155	4.498462	Polylobed
1.9808599	4.651307	Polylobed
1.8766079	4.9272842	Polylobed
2.0480533	4.50204	Polylobed
1.9636958	4.6520123	Polylobed
6.4596047	6.156412	Polylobed
6.008323	6.566943	Polylobed
3.3549135	5.9690304	Polylobed
2.975822	6.5278225	Polylobed
3.5443964	5.812045	Polylobed
2.595291	6.639078	Polylobed
3.386463	5.3926725	Polylobed
2.8460476	6.029662	Binuclear
3.1756344	6.1236334	Binuclear
4.290809	4.778416	Polylobed
4.263747	4.7692623	Polylobed
4.2259583	4.8165703	Polylobed
4.2208743	4.838309	Polylobed
1.9489977	6.135909	Binuclear
2.0097287	6.108985	Binuclear
1.6715909	6.347813	Polylobed
1.7050955	6.2614264	Polylobed
1.6756696	6.260127	Polylobed
0.26614684	5.927711	Polylobed
0.2558265	5.9204893	Polylobed
0.22782876	5.915134	Polylobed
0.26310587	5.860051	Polylobed
0.2563553	5.818653	Polylobed
0.30711934	5.985943	Polylobed
0.25554478	5.919117	Polylobed
0.22567382	5.898716	Polylobed
0.23638768	5.9010253	Polylobed
6.477617	6.0959306	Elongated
3.900516	4.9768243	Polylobed
3.982599	5.1940284	Polylobed
3.8095882	5.0945706	Polylobed
3.0445895	5.1562014	Polylobed
4.558976	5.489614	Polylobed
3.8390167	5.0693407	Polylobed
3.3692873	4.5741796	Binuclear
3.448548	4.671117	Binuclear
3.476981	5.089439	Binuclear
4.166771	4.777082	Binuclear
3.0535886	4.3913474	Polylobed
3.3513076	4.512809	Polylobed
1.8632331	4.750552	Polylobed
1.8509187	4.7750993	Polylobed
3.293874	7.23276	Polylobed
3.2192178	7.002808	Polylobed
1.8726425	4.7283363	Polylobed
3.173565	6.132173	Polylobed
2.0700064	5.093241	Polylobed
2.437191	5.4294286	Polylobed
3.899987	5.721451	Binuclear
3.6867237	5.710224	Binuclear
3.0315294	6.385401	Polylobed
3.4680116	5.3524017	Polylobed
3.0454385	6.4626255	Polylobed
2.4925334	5.6429253	Polylobed
5.94799	6.5389833	Binuclear
3.105775	6.072213	Binuclear
3.8369033	7.933481	Binuclear
5.445328	6.708706	Binuclear
3.8264697	5.7392817	Binuclear
3.490008	6.4593887	Binuclear
8.904221	5.278068	Artefact
6.2396193	7.0697656	Apoptosis
8.847793	5.297145	Artefact
3.071009	6.4342546	Binuclear
3.2385828	5.792432	Binuclear
1.8017008	6.342374	Polylobed
1.7351656	6.485406	Polylobed
1.7479082	6.2784743	Polylobed
1.7437922	6.2026362	Polylobed
0.24090613	5.9111395	Polylobed
0.2840843	6.0006623	Polylobed
0.23465261	5.913237	Polylobed
0.2575036	5.8935513	Polylobed
0.27386934	5.903135	Polylobed
0.28056923	5.964704	Polylobed
0.2379969	5.871583	Polylobed
0.20406933	5.8826685	Polylobed
7.3897038	6.408512	UndefinedCondensed
6.991736	5.7572813	Interphase
4.364667	2.7388406	MetaphaseAlignment
6.8467913	5.6462398	MetaphaseAlignment
4.194926	4.8655024	Polylobed
3.0687714	5.9713664	Polylobed
3.2361758	4.5099187	Binuclear
3.089873	5.9300904	Polylobed
3.282042	4.564015	Binuclear
2.6731656	4.083282	Binuclear
3.8912175	4.413045	Binuclear
3.9260197	4.2877693	Binuclear
3.0690274	6.8964076	Binuclear
3.056301	6.9263406	Binuclear
4.0795574	5.468417	Binuclear
3.599287	5.438567	Binuclear
4.198044	5.920217	Artefact
4.134238	6.127604	Artefact
4.23855	5.991535	Artefact
2.2383225	6.2445726	Binuclear
3.440813	5.9892855	Binuclear
4.3017983	6.147677	Binuclear
2.187205	6.248456	Binuclear
8.269718	5.227849	MetaphaseAlignment
8.041922	5.5277147	Binuclear
4.41651	6.146612	Polylobed
6.1491013	6.43856	Binuclear
7.941506	5.607551	Binuclear
3.9639	8.085435	Binuclear
4.410007	4.9946685	Polylobed
4.371522	4.841122	Polylobed
2.8195653	5.3831077	Binuclear
2.8002656	5.394721	Binuclear
2.7494612	4.347131	Polylobed
2.8938537	4.156344	Polylobed
2.7141016	4.5462976	Polylobed
2.2974448	6.7718143	Binuclear
3.588849	5.2422047	Polylobed
2.259939	7.2427773	Binuclear
5.2942095	5.669787	Binuclear
2.6264932	5.396754	Binuclear
7.6076403	7.6225104	Prometaphase
7.9753075	6.1271424	Prometaphase
7.502477	7.499296	Prometaphase
8.31874	7.2525797	Prometaphase
8.001344	5.7105603	Prometaphase
7.873742	7.4523144	Prometaphase
8.048142	5.6883783	Prometaphase
7.33761	6.0480237	Prometaphase
7.1309485	5.253108	Prometaphase
5.3230133	5.7218547	Artefact
5.3111753	5.7355666	Artefact
5.3316684	7.81645	Artefact
5.354716	7.51081	Artefact
5.3457665	7.1948133	Artefact
6.732103	5.2842083	Artefact
3.7541218	4.528778	Artefact
3.7668912	4.562955	Artefact
3.7775028	4.6021466	Artefact
3.7844877	4.687505	Artefact
5.529184	5.8934355	Artefact
5.2875633	6.69567	Artefact
8.308635	4.910967	Prometaphase
7.2688866	4.834734	Prometaphase
7.2658577	5.5405293	Prometaphase
8.321182	4.9386096	Prometaphase
3.950756	4.2718906	Prometaphase
7.245741	5.1127806	Prometaphase
7.0027323	5.254316	Prometaphase
7.5123215	5.985398	Prometaphase
6.0974984	7.6774163	Prometaphase
7.6834493	5.596493	Prometaphase
7.5688477	5.227341	Prometaphase
7.173555	7.233872	Prometaphase
7.1292453	7.385371	Prometaphase
8.280103	7.214484	Prometaphase
7.902071	7.4553876	Prometaphase
8.224329	7.4182277	Prometaphase
8.149948	5.213708	Prometaphase
2.4256296	7.0095496	Large
4.441847	5.9974375	Large
